V_i=5000,V_h=7000
Ising: E=0.2977, m=-0.103;  Heat bath: E=0.3846, T = 2.128; E_tot=0.351∓0.016
Ising: E=0.2995, m=-0.064;  Heat bath: E=0.3822, T = 2.083; E_tot=0.350∓0.016
Ising: E=0.3034, m=-0.039;  Heat bath: E=0.3792, T = 2.029; E_tot=0.349∓0.016
Ising: E=0.3086, m=0.006;  Heat bath: E=0.3728, T = 1.921; E_tot=0.345∓0.016
Ising: E=0.3050, m=0.034;  Heat bath: E=0.3733, T = 1.931; E_tot=0.345∓0.016
Ising: E=0.3080, m=-0.095;  Heat bath: E=0.3704, T = 1.885; E_tot=0.343∓0.016
Ising: E=0.3003, m=-0.064;  Heat bath: E=0.3699, T = 1.877; E_tot=0.341∓0.016
Ising: E=0.3010, m=-0.099;  Heat bath: E=0.3691, T = 1.866; E_tot=0.341∓0.016
Ising: E=0.2999, m=-0.028;  Heat bath: E=0.3669, T = 1.833; E_tot=0.339∓0.016
Ising: E=0.2992, m=-0.048;  Heat bath: E=0.3666, T = 1.829; E_tot=0.338∓0.016
Ising: E=0.2965, m=-0.018;  Heat bath: E=0.3650, T = 1.806; E_tot=0.336∓0.016
Ising: E=0.2975, m=0.000;  Heat bath: E=0.3638, T = 1.789; E_tot=0.336∓0.016
Ising: E=0.2986, m=-0.005;  Heat bath: E=0.3625, T = 1.772; E_tot=0.335∓0.016
Ising: E=0.3000, m=0.022;  Heat bath: E=0.3598, T = 1.735; E_tot=0.334∓0.016
Ising: E=0.2989, m=-0.071;  Heat bath: E=0.3584, T = 1.718; E_tot=0.332∓0.016
Ising: E=0.2980, m=0.023;  Heat bath: E=0.3573, T = 1.704; E_tot=0.331∓0.016
Ising: E=0.2952, m=-0.118;  Heat bath: E=0.3564, T = 1.691; E_tot=0.330∓0.016
Ising: E=0.2929, m=-0.087;  Heat bath: E=0.3557, T = 1.683; E_tot=0.329∓0.016
Ising: E=0.2957, m=0.000;  Heat bath: E=0.3544, T = 1.667; E_tot=0.328∓0.016
Ising: E=0.2862, m=-0.043;  Heat bath: E=0.3560, T = 1.687; E_tot=0.327∓0.016
Ising: E=0.2914, m=-0.005;  Heat bath: E=0.3539, T = 1.662; E_tot=0.327∓0.016
Ising: E=0.2887, m=-0.033;  Heat bath: E=0.3517, T = 1.635; E_tot=0.325∓0.016
Ising: E=0.2914, m=-0.046;  Heat bath: E=0.3495, T = 1.609; E_tot=0.324∓0.016
Ising: E=0.2888, m=-0.058;  Heat bath: E=0.3493, T = 1.608; E_tot=0.323∓0.016
